V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1001000174.D6	GBM cell 109	Brain	Homo sapiens	1001000174	D6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H3	GBM cell 110	Brain	Homo sapiens	1001000174	H3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F12	GBM cell 111	Brain	Homo sapiens	1001000174	F12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E6	GBM cell 112	Brain	Homo sapiens	1001000174	E6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G3	GBM cell 113	Brain	Homo sapiens	1001000174	G3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A8	GBM cell 114	Brain	Homo sapiens	1001000174	A8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B10	GBM cell 115	Brain	Homo sapiens	1001000174	B10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C2	GBM cell 116	Brain	Homo sapiens	1001000174	C2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F1	GBM cell 117	Brain	Homo sapiens	1001000174	F1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F3	GBM cell 118	Brain	Homo sapiens	1001000174	F3	Tumor	BT_S2	7	Immune cell	Regular
1001000174.C11	GBM cell 119	Brain	Homo sapiens	1001000174	C11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H8	GBM cell 120	Brain	Homo sapiens	1001000174	H8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H1	GBM cell 121	Brain	Homo sapiens	1001000174	H1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G8	GBM cell 122	Brain	Homo sapiens	1001000174	G8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B5	GBM cell 123	Brain	Homo sapiens	1001000174	B5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E11	GBM cell 124	Brain	Homo sapiens	1001000174	E11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E8	GBM cell 125	Brain	Homo sapiens	1001000174	E8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F11	GBM cell 126	Brain	Homo sapiens	1001000174	F11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A1	GBM cell 127	Brain	Homo sapiens	1001000174	A1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E7	GBM cell 128	Brain	Homo sapiens	1001000174	E7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.B1	GBM cell 129	Brain	Homo sapiens	1001000174	B1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C12	GBM cell 130	Brain	Homo sapiens	1001000174	C12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C9	GBM cell 131	Brain	Homo sapiens	1001000174	C9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D7	GBM cell 132	Brain	Homo sapiens	1001000174	D7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D2	GBM cell 133	Brain	Homo sapiens	1001000174	D2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C4	GBM cell 134	Brain	Homo sapiens	1001000174	C4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.F8	GBM cell 135	Brain	Homo sapiens	1001000174	F8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D10	GBM cell 136	Brain	Homo sapiens	1001000174	D10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.G11	GBM cell 137	Brain	Homo sapiens	1001000174	G11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.A3	GBM cell 138	Brain	Homo sapiens	1001000174	A3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.E3	GBM cell 139	Brain	Homo sapiens	1001000174	E3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.H5	GBM cell 140	Brain	Homo sapiens	1001000174	H5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.C6	GBM cell 141	Brain	Homo sapiens	1001000174	C6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D3	GBM cell 142	Brain	Homo sapiens	1001000174	D3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000174.D9	GBM cell 143	Brain	Homo sapiens	1001000174	D9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.E1	GBM cell 144	Brain	Homo sapiens	1001000175	E1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A3	GBM cell 145	Brain	Homo sapiens	1001000175	A3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H2	GBM cell 146	Brain	Homo sapiens	1001000175	H2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C11	GBM cell 147	Brain	Homo sapiens	1001000175	C11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D9	GBM cell 148	Brain	Homo sapiens	1001000175	D9	Tumor	BT_S2	8	Immune cell	Regular
1001000175.G12	GBM cell 149	Brain	Homo sapiens	1001000175	G12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F3	GBM cell 150	Brain	Homo sapiens	1001000175	F3	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B9	GBM cell 151	Brain	Homo sapiens	1001000175	B9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H4	GBM cell 152	Brain	Homo sapiens	1001000175	H4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.G2	GBM cell 153	Brain	Homo sapiens	1001000175	G2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H9	GBM cell 154	Brain	Homo sapiens	1001000175	H9	Tumor	BT_S2	5	Neuron	Regular
1001000175.G11	GBM cell 155	Brain	Homo sapiens	1001000175	G11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B4	GBM cell 156	Brain	Homo sapiens	1001000175	B4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D2	GBM cell 157	Brain	Homo sapiens	1001000175	D2	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C1	GBM cell 158	Brain	Homo sapiens	1001000175	C1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.G7	GBM cell 159	Brain	Homo sapiens	1001000175	G7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.E8	GBM cell 160	Brain	Homo sapiens	1001000175	E8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F6	GBM cell 161	Brain	Homo sapiens	1001000175	F6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H6	GBM cell 162	Brain	Homo sapiens	1001000175	H6	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H11	GBM cell 163	Brain	Homo sapiens	1001000175	H11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.C7	GBM cell 164	Brain	Homo sapiens	1001000175	C7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A11	GBM cell 165	Brain	Homo sapiens	1001000175	A11	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.G8	GBM cell 166	Brain	Homo sapiens	1001000175	G8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A7	GBM cell 167	Brain	Homo sapiens	1001000175	A7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H5	GBM cell 168	Brain	Homo sapiens	1001000175	H5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.F8	GBM cell 169	Brain	Homo sapiens	1001000175	F8	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D12	GBM cell 170	Brain	Homo sapiens	1001000175	D12	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A5	GBM cell 171	Brain	Homo sapiens	1001000175	A5	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D4	GBM cell 172	Brain	Homo sapiens	1001000175	D4	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.B6	GBM cell 173	Brain	Homo sapiens	1001000175	B6	Tumor	BT_S2	3	Vascular	Regular
1001000175.D10	GBM cell 174	Brain	Homo sapiens	1001000175	D10	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.A9	GBM cell 175	Brain	Homo sapiens	1001000175	A9	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.H7	GBM cell 176	Brain	Homo sapiens	1001000175	H7	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.G6	GBM cell 177	Brain	Homo sapiens	1001000175	G6	Tumor	BT_S2	8	Immune cell	Regular
1001000175.B8	GBM cell 178	Brain	Homo sapiens	1001000175	B8	Tumor	BT_S2	9	OPC	Regular
1001000175.B1	GBM cell 179	Brain	Homo sapiens	1001000175	B1	Tumor	BT_S2	11	Neoplastic	Neoplastic
1001000175.D5	GBM cell 180	Brain	Homo sapiens	1001000175	D5	Tumor	BT_S2	11	Neoplastic	Neoplastic
